batiment_groupe_id,l_annee_construction,nb_log
69383000AL0091_e02a4fd7b401779,"[ ""1996"" ]",150.0
69383000AI0029_1f56df220bd3c03,,9.0
69383000AN0050_014dcfd0d4dc12a,,18.0
69383000AN0084_22b8a1824e5b8ba,"[ ""2004"" ]",18.0
69383000AP0029_0df97f643cdb011,"[ ""1928"" ]",13.0
69383000AO0124_d6cb0be803901f8,,17.0
69383000AO0073_2caf6abdc26bb6e,,12.0
69383000AP0051_52a38c8db2af51e,"[ ""1998"" ]",43.0
69383000AV0048_180486e30709f96,"[ ""2005"" ]",53.0
69383000AV0041_919629fae3a377d,"[ ""1995"" ]",110.0
69383000AX0016_50a80b9ef85be5c,,20.0
69383000AV0011_8ef958d92f49239,"[ ""1994"" ]",173.0
69383000BC0100_c4c935647abc60d,"[ ""1994"" ]",37.0
69383000BK0077_4f5f0f464f47e7b,,17.0
69383000CS0058_62f9353039c3a31,"[ ""1971"" ]",14.0
69383000CZ0074_0983b6b3db47b52,"[ ""2022"" ]",0.0
69383000CZ0070_3e816b2f36edde4,,6.0
69383000DP0068_e943798c6ac2fb8,"[ ""1990"" ]",34.0
69383000DP0085_49df4a3f9ef520f,,30.0
69383000EL0020_09a33b74016104e,"[ ""1933"" ]",15.0
69383000EL0122_b7f11bbc09d91a5,"[ ""1991"" ]",28.0
69384000AO0092_53e7fc62c7e4dbf,"[ ""1955"" ]",17.0
69384000AP0050_e9a9bb9025a92c8,"[ ""1970"" ]",5.0
69384000AW0249_d058a19315533dc,"[ ""1948"" ]",5.32
69385000AE0082_02f07b389af28cb,,5.0
69385000AE0088_81c97fb68720498,,13.0
69385000AK0117_f559b1da1dbeac8,,2.56
69385000AK0118_a16642909b79d00,,1.44
69385000AP0109_9dd5ce728a0928c,,23.0
69385000AS0056_809f5e41382f063,"[ ""1965"" ]",4.0
69385000BO0198_87da5d0b63dd679,"[ ""1999"" ]",13.0
69385000BO0225_69577cb3d4afef2,,4.0
69385000BY0004_2a80ef1d61ffcb6,,7.0
69386000AK0065_afcd8396d38b8ef,"[ ""1966"" ]",37.0
69386000AK0066_b5f293e48277a02,"[ ""1966"" ]",19.0
69386000BE0004_e21c3341411de91,"[ ""1962"" ]",17.0
69386000AN0080_4baf1082c17fb6b,"[ ""2011"" ]",11.0
69386000AO0064_85b8373b7ccf0a7,,9.0
69386000AO0065_9975835c48d18f7,,6.0
69386000AS0010_c4545fcc93829f6,"[ ""1951"" ]",4.0
69386000AR0045_e653570ac6bf230,,33.0
69386000BD0032_b751bb72b6e3f33,,12.0
69386000BE0078_8f960d03efd8060,,13.0
69386000BH0161_08326635b3c08f6,"[ ""1998"" ]",22.0
69386000BK0071_0ff9ec7c68f6663,"[ ""1973"" ]",8.67
69386000BK0072_204a4a0f8c14b48,,22.0
69386000BM0013_d1b589c1aa9545b,,17.0
69387000AD0046_c0a7d3a23608ba6,,40.0
69387000AE0143_3bb824fdd1536bd,"[ ""1989"", ""1990"" ]",65.5
69387000AL0037_7d3e427a171e9cf,,97.0
69387000AM0042_319732011be0210,"[ ""1960"" ]",13.0
69387000AM0016_049b88de3d9ed7b,"[ ""1950"" ]",5.0
69387000AM0102_5ab254e507a58ce,"[ ""1994"" ]",23.0
69387000AR0023_dc01e1d1054ba9c,"[ ""1942"" ]",23.0
69387000AT0036_f91a1516fd08ced,,16.0
69387000AW0030_dae1772229f2b46,,19.0
69387000AX0079_6f00299886888cd,,16.0
69387000BD0062_981abba496c2f48,"[ ""1992"" ]",33.0
69387000BK0056_6478799b22b11cc,,16.0
69387000BK0094_d6b5dd4b74d1a3a,"[ ""1960"" ]",9.0
69387000BK0036_b7d49c65520688a,,10.0
69387000BO0182_60e9dbeb6d766f7,"[ ""2008"" ]",49.0
69387000BW0001_67fed128c5c89e8,"[ ""1950"" ]",5.0
69387000BW0003_949ef8a26e63d1f,"[ ""1960"" ]",32.0
69387000BK0301_340f4984c30538a,,76.0
69388000AE0068_d37b8366fa30bc8,,39.0
69388000AH0115_49c0f617cc7ab7c,"[ ""1985"" ]",21.0
69388000BI0123_8eec7c6f4e5541d,"[ ""1965"" ]",25.0
69388000BP0019_37ed480ea4eab1e,,3.0
69389000AP0169_0b41711d047c275,"[ ""2006"" ]",145.0
69389000BC0128_c444e7b1b67d54a,,46.0
69389000BN0010_ebe4b8a3b5ffb1c,"[ ""1957"" ]",14.0
69389000BT0085_8daf7d77e36ff8a,,11.97
69389000CE0036_498c83f7de5a1e5,"[ ""1860"", ""1965"" ]",16.0
69389000CX0234_603691a725fd110,,1.82
69389000CX0223_0aceb7395b83629,,5.59
69389000CX0232_2029a4ac2c9b406,,3.77
69389000CX0233_26c013e0e2f38fc,,1.82
uf692940251524_d88ce9a2b82c1e0,"[ ""2020"" ]",11.34
uf692940149878_88dfb7ab06ca6e6,"[ ""2020"" ]",2.34
uf693890154711_6fa0ef452f9f00e,,7.03
69089000BK0044_2e8c9a25990bd45,,4.0
69259000AI0040_9943c00e593ebb2,,16.0
69266000CO0227_cd670d528127da2,"[ ""1969"" ]",27.0
69381000AB0026_860b15937a1679c,"[ ""1964"" ]",14.0
69381000AH0005_0cb8f991105c01a,"[ ""1946"" ]",13.0
69381000AP0291_633fd33ba4643e6,,9.0
69382000AK0090_aded67131219fa8,"[ ""1927"" ]",19.0
69382000AS0016_fdca4b092625bff,,14.0
69382000AK0008_71063bc01a8ef12,,60.0
69383000AP0032_e9df1ffee18f430,,7.0
69383000AY0060_210956180d947c4,"[ ""1951"" ]",7.0
69383000AY0090_f26e5f174c6414f,"[ ""1954"" ]",16.0
69383000CH0006_0d330e4b859112f,"[ ""1957"" ]",31.0
69384000AV0030_d215c2e0eadcbb1,,15.0
69384000AW0250_ca2066b3971ec52,"[ ""1948"" ]",13.68
69385000AP0029_7ff1c9848fb387f,"[ ""1963"" ]",8.0
69386000AK0018_050c9064be6204f,"[ ""1961"", ""1956"" ]",117.0
69386000AP0111_375e6db1bee9c28,"[ ""1947"" ]",11.0
69386000BD0050_0bd5d5bc8925397,,18.0
69386000BD0156_1c27fb692f2af98,"[ ""1972"" ]",51.0
69386000BH0048_181e15257848c14,"[ ""1947"" ]",9.0
69387000AD0065_6d2659b9befd1ca,"[ ""1937"" ]",14.0
69387000AE0140_059540e6306b255,"[ ""1989"" ]",23.5
69387000AR0015_6dd6f3b6ca4d879,"[ ""1957"" ]",28.0
69387000BO0110_838654f8268b0fe,"[ ""2008"" ]",106.0
69387000BR0154_608396b68f07ecf,"[ ""1981"" ]",30.0
69387000BS0043_3a9e83bcbf9f3ae,"[ ""1914"" ]",2.0
69389000CV0014_6ce78795e112524,,3.0
69019000AE0713_c86639d81559039,"[ ""2017"" ]",0.0
690290000A0732_7d90b09f11ead9f,,30.0
69388000BS0013_75b80b5b936af06,"[ ""2019"" ]",0.0
69027000BE0069_09816dc9cca3688,"[ ""2016"" ]",32.0
690290000B2066_5c547ab5b381d8a,"[ ""2010"" ]",77.0
69034000AP0249_e928d869816e2d8,"[ ""2012"" ]",57.0
69034000AP0265_5f276de352f54c8,"[ ""2008"" ]",62.0
69034000BK0370_f471c547573f336,"[ ""2005"" ]",24.0
69069000AB0279_e2a28bdb46169dd,"[ ""2007"" ]",32.0
69069000AD0266_4c2912f257c2d73,"[ ""2007"" ]",35.15
69069000AW0366_987029576392836,"[ ""2011"" ]",18.5
69069000AW0003_d1ca211eecd72d9,"[ ""2011"" ]",18.5
69089000BK0028_1f56cfcd405c97d,"[ ""2007"" ]",55.0
69089000BR0292_1ce9c6ffeef4f65,"[ ""2002"" ]",22.0
69091000AN0227_a37c4a9e39b98ca,"[ ""2007"" ]",5.04
69149000AK0508_cbb22d597faa619,"[ ""2003"" ]",20.0
69149000AL0198_9dd28157b6e22db,,11.0
69152000AL0477_86fc07438a50e59,"[ ""2002"" ]",52.0
