batiment_groupe_id,annee_construction,mat_toit_txt
69382000AO0052_0cf46f3a991e623,1850.0,TUILES
69382000AO0053_c13744b75d6453b,1830.0,TUILES
69382000AS0016_fdca4b092625bff,1830.0,TUILES
69382000AS0052_b4c6cf8faf20c4d,1850.0,
69382000AZ0193_944d9ba1850dcd6,2016.0,
69382000AZ0194_0ffe6a708cefdc4,2015.0,INDETERMINE
69382000AZ0033_bc0aaef98d44bb5,1860.0,TUILES
69383000AC0047_153700e4014ddd7,2002.0,
69383000AE0124_5b83d411c7c0b97,1986.0,TUILES
69383000AK0073_076283ff456fac3,1846.0,INDETERMINE
69383000AL0091_e02a4fd7b401779,1996.0,INDETERMINE
69383000AN0084_22b8a1824e5b8ba,2006.0,
69383000AO0124_d6cb0be803901f8,1988.0,
69383000AO0073_2caf6abdc26bb6e,1890.0,TUILES
69383000AP0029_0df97f643cdb011,1860.0,TUILES
69383000AP0032_e9df1ffee18f430,1954.0,TUILES
69383000AP0051_52a38c8db2af51e,2000.0,
69383000AT0022_db095eb001d521e,1999.0,TUILES
69383000AY0060_210956180d947c4,1890.0,TUILES
69383000AY0090_f26e5f174c6414f,1956.0,TUILES
69383000AZ0215_3bca192ff774235,2001.0,TUILES
69383000BH0031_13416445677a530,1989.0,
69383000BK0036_2fd736d93d377f6,,TUILES
69383000BK0036_4d0f7c0aaa37f70,1958.0,TUILES
69383000BK0042_36720d60729972b,2013.0,INDETERMINE
69383000BK0042_d2aff23e7dfa547,2013.0,INDETERMINE
69383000CO0155_035f6b397064736,2018.0,INDETERMINE
69383000CT0010_dfd71b56a7f0cf3,2019.0,INDETERMINE
69383000CV0030_48da108bd56c8c0,2013.0,BETON
69383000DM0016_baa4dee09bf97a1,1931.0,TUILES
69383000DN0075_38e616f9235b750,2018.0,INDETERMINE
69383000DR0065_23611b1cf2e7c70,1870.0,INDETERMINE
69383000DP0068_e943798c6ac2fb8,1990.0,
69383000DT0043_08e37675756c830,2003.0,AUTRES
69383000DT0052_75dc3a1be4be537,2006.0,AUTRES
69383000DT0090_dc784f8f04e19aa,1994.0,TUILES
69383000DZ0087_f90f4f41736320c,1988.0,AUTRES
69383000EL0020_09a33b74016104e,1933.0,TUILES
69384000AD0161_aec1ee85fab4b80,1999.0,TUILES
69384000AI0022_78e82f504321044,1982.0,BETON
69384000AO0054_52c7bd08c3478e7,1820.0,TUILES
69384000AP0050_e9a9bb9025a92c8,1840.0,TUILES
69384000AW0250_ca2066b3971ec52,1820.0,TUILES
69385000AE0082_02f07b389af28cb,1800.0,TUILES
69385000AE0089_586fde3d4f97592,1580.0,TUILES
69385000AK0118_a16642909b79d00,1780.0,TUILES
69385000AL0025_c566e694e33c436,1840.0,TUILES
69385000BK0090_a2135639fa21c63,1991.0,
69385000BK0087_3074af237f304d4,1963.0,BETON
69385000BM0142_feb47af4b832680,1920.0,TUILES
69385000BN0105_a28af00974c770e,1990.0,TUILES
69385000BR0003_77a87a4763225a1,1974.0,BETON
69385000BY0004_2a80ef1d61ffcb6,1797.0,TUILES
69386000AK0018_050c9064be6204f,1960.0,BETON - AUTRES
69386000AK0146_39a83179a7d0639,1990.0,
69386000AK0065_afcd8396d38b8ef,1967.0,BETON - AUTRES
69386000AK0066_b5f293e48277a02,1962.0,BETON - AUTRES
69386000AN0080_4baf1082c17fb6b,1865.0,TUILES
69386000AO0090_6b9629668191053,2020.0,INDETERMINE
69386000AO0064_85b8373b7ccf0a7,1880.0,TUILES
69386000AO0065_9975835c48d18f7,1840.0,TUILES
69386000AR0045_e653570ac6bf230,1962.0,TUILES
69386000AR0046_c3a72ea03bd855b,1989.0,BETON
69386000AP0083_bf2fa5fe1ebecb7,1850.0,TUILES
69386000AS0034_11751a39c3dc903,2010.0,BETON
69386000AS0010_c4545fcc93829f6,1880.0,TUILES
69386000BH0048_181e15257848c14,1850.0,TUILES
69386000BH0161_08326635b3c08f6,1999.0,
69386000BE0004_e21c3341411de91,1968.0,BETON - AUTRES
69386000BK0072_204a4a0f8c14b48,2001.0,
69386000BL0037_f54ee6f0294b612,1880.0,TUILES
69386000BM0013_d1b589c1aa9545b,1949.0,TUILES
69387000AC0079_d08552cdb895bc5,1990.0,TUILES
69387000AD0086_2c03c3738cde4db,1991.0,TUILES
69387000AI0016_d09253555097a84,1979.0,BETON
69387000AE0098_dea57feb1a3319e,1990.0,TUILES
69387000AL0037_7d3e427a171e9cf,1997.0,INDETERMINE
69387000AZ0073_5f39153968b975f,1963.0,BETON - AUTRES
69387000BD0062_981abba496c2f48,1994.0,TUILES
69387000BK0036_b7d49c65520688a,1900.0,TUILES
69387000BK0301_340f4984c30538a,2012.0,TUILES
69387000BK0056_6478799b22b11cc,1914.0,TUILES
69387000BL0013_58fb959f4e672de,2011.0,BETON
69387000BO0054_429758724da88b7,2008.0,BETON
69387000BO0116_6e73d920440a35d,2002.0,BETON
69387000BO0126_2d14fd26e4cb65d,2009.0,ARDOISES
69387000BO0183_b3c7c1ccf029fe4,2020.0,INDETERMINE
69387000BS0134_cf9bfdef789c1b5,2012.0,INDETERMINE
69387000BW0001_67fed128c5c89e8,1950.0,TUILES
69387000BY0002_5c748be7f75390b,2010.0,AUTRES
69387000BW0085_a57a8ae7801584d,1930.0,TUILES
69387000BW0107_35c13f10f468587,2002.0,
69387000BZ0144_586f2638ba3419f,1991.0,BETON
69388000AM0064_aa9d6ac7e09657a,1993.0,ZINC ALUMINIUM
69388000AN0329_65fbb3e077bd877,2016.0,INDETERMINE
69388000AP0134_e0c320ae818dfa0,1948.0,
69388000BN0022_7cb298a808359c7,2005.0,TUILES
69388000BP0019_37ed480ea4eab1e,1890.0,
69388000BS0013_75b80b5b936af06,,
69388000BV0055_9790c9711c4f6e2,2007.0,BETON
69388000BX0092_6fb676879c31e4e,2012.0,TUILES
69388000BX0125_915dbb4f3685343,2014.0,INDETERMINE
69388000CI0057_8a27c4587bfec3a,1920.0,TUILES
69388000CI0057_d4c86f653f8ac12,1957.0,TUILES
69388000CK0040_c7e5d82ede06246,1975.0,AUTRES
69389000AZ0055_fc1d957f5f9849a,2011.0,AUTRES
69389000BI0049_98e63ded74528f8,2015.0,INDETERMINE
69389000BN0010_ebe4b8a3b5ffb1c,1958.0,BETON
69389000BM0093_62be30240af8a9a,2010.0,INDETERMINE
69389000BP0203_8503e37a779d97d,1993.0,INDETERMINE
69389000BT0085_8daf7d77e36ff8a,1700.0,TUILES
69389000BZ0057_1125c402504d7a1,1936.0,TUILES
69389000CX0223_0aceb7395b83629,2011.0,INDETERMINE
uf690290013912_027d7408bb238aa,2004.0,TUILES
uf690810206221_809a38f5585d0aa,2018.0,BETON - TUILES
uf692040097772_126cd1a53a33fbb,1987.0,TUILES - ZINC ALUMINIUM
uf692560126377_1d390ee0b5ee5d3,1936.0,TUILES
uf692660230748_690df7601e08ea3,,
uf692660249193_0f895111a4540bb,,
uf692730249620_12fa0a3b5b620ec,1974.0,TUILES
uf693850251961_6f009ecb83a86dd,2019.0,TUILES
01249000AE0489_b48f9fc7ada9831,2019.0,INDETERMINE
01427000AD0154_08829cdb88adc35,2002.0,TUILES - AUTRES
03310000AX0095_404e1dd219b92ad,1912.0,INDETERMINE
01376000AC0574_9225f70748067b8,1929.0,
38193000DE0359_8bbd279f08ff777,2013.0,INDETERMINE
uf380530027227_bfcd5d479b3af86,1960.0,TUILES
38544000BH0016_57d34614b20c5b8,2016.0,INDETERMINE
38537000AD0562_97ac671c086891d,2012.0,
385430000C1120_5347429e9f8e080,1730.0,INDETERMINE
42218000HT0021_b9a0c8085f6b03a,1998.0,INDETERMINE
42218000MW0090_da73742fc610f44,2017.0,INDETERMINE
uf380870407538_da6fab480c3857a,1977.0,TUILES
63032000BB0118_cae77a0e03e52e4,1971.0,
63032000BC0354_2590497663d8d04,1991.0,
630700000C1322_fd273d9560b5930,2010.0,INDETERMINE
63075000AI0121_f696fe193bbc6da,,
63113000HW0118_456bb98b937ffb1,1913.0,TUILES
63113000HW0236_56c9ab64117e7bc,1911.0,TUILES
63113000HW0301_72f844ee9913601,1913.0,TUILES
63113000HW0351_3b5ecbdf3b5dcff,1900.0,TUILES
