personne_id,siren,denomination,batiment_groupe_id
69PBG55C,437559362,NITNAFE INVEST,69382000AW0117_d1279a0ffb7f29f
69PBG5C4,530798263,VERIC,69034000AH0005_659781da030377b
69PBG5JX,529016511,PAC TOLSTOI,69266000BN0180_5cd24167319319a
69PBG5XW,534262431,JALE,69264000AL0072_a24a5b549831c44
69PBG66C,538734799,OUEST BUREAUX II,69069000AI0053_8a8be8307f24208
69PBG67Z,749971248,SCI ISSOBE 2,69034000AX0389_7e181542d82b4f5
69PBG6BL,452094089,JM,uf693880154264_74a4f641196327e
69PBG6J3,525206421,SCI LE GRIFFON,69387000AM0102_5ab254e507a58ce
69PBG6QD,539473983,MALYON,69383000AX0016_50a80b9ef85be5c
69PBG75T,537570392,LES RAGONDINS,uf692660132314_7d4cc5774978bff
69PBG75V,440475259,SCI NESS,69266000BN0179_4490e6b68aa82d8
69PBG7X7,539373340,SCI CAPUCINS,69381000AP0098_13f9d93a2824f97
69PBG882,751556770,ROCARGUILE,69387000BW0003_949ef8a26e63d1f
69PBG89L,750420291,BLRV,69275000AY0275_adbde79b780a014
69PBG96K,407880293,BONAUDO,69387000BI0127_6949bdc82e4aec2
69PBG9Q4,538362617,PIERRE BENITE,69152000AH0324_f86e13f0aa26779
69PBG9Z7,752102277,ANANDA 8EME,69388000BV0055_9790c9711c4f6e2
69PBGJGK,508562154,EMANALYS,69388000CI0367_a12bd8dc8182a64
69PBGJZ2,414651828,FLOVAN,69202000AE0364_7f397eea1733ad5
69PBGKG7,509907382,ABCG,69385000AP0109_9dd5ce728a0928c
69PBGKG8,509678983,JE-C-PA,69389000CE0036_498c83f7de5a1e5
69PBGKJ9,509538567,SGM IMMOBILIER,69089000BZ0167_f9ad6fc3798c11d
69PBGKWB,504665829,BS ET CO,69034000AP0265_5f276de352f54c8
69PBGL26,512217076,THYM ET ROMARIN,69268000AL0163_63f062119ddd678
69PBGLJW,391208402,INVESTISSEMENT 2079,69386000AO0065_9975835c48d18f7
69PBGLK7,509227278,LES ARCADES,69383000CX0055_bbbb1fbf8a72eae
69PBGLKJ,452472566,1744,69266000BP0114_bd932724aeae303
69PBGLP3,447708496,STAL,69387000BO0126_aef998ec2f6dc64
69PBGLP5,483894077,NATFA,69388000BX0027_1a315f8e3331990
69PBGLQR,499193597,AIGLE COM,69202000AE0040_ae551e01245b454
69PBGLWS,501149595,LA SOLITUDE,69387000BO0126_2d14fd26e4cb65d
69PBGMB2,504868993,CEC,69384000AO0092_53e7fc62c7e4dbf
69PBGMVW,513764274,ARCADOR,69040000AI0310_9574ab4edba6530
69PBGMW3,512520800,JEXA,69389000BM0093_62be30240af8a9a
69PBGNT6,513061531,DE LA ROSIERE,69388000BL0006_b864aba22190597
69PBGPFH,514017466,FRANCE TERRE,69256000AT0442_56ef69c136872ea
69PBGPL6,514179241,HOBBITS,69069000AD0266_4c2912f257c2d73
69PBGPRM,515219210,SAINT AMOUR,69264000AN0036_f6d515a5d73e096
69PBGQNW,519745376,LES CATS,69387000AW0030_dae1772229f2b46
69PBGRCR,U22757900,SCI CETIA,69389000AZ0055_7bdfe7608cb81fa
69PBGS87,503024341,TAGERIM RESIDENCES ETUDIANTES,69387000BO0110_838654f8268b0fe
69PBGSGT,408612760,2MJ,69244000AT0145_8e0532a0294c7ae
69PBGT8C,523647618,SCI QA,69388000BI0221_0e1c6d1465169e8
69PBGTZR,523165538,SCI SFT QUAI DE SAONE,69389000AZ0055_fc1d957f5f9849a
69PBGVF3,420261034,DE LA GARDE,69069000AB0279_e2a28bdb46169dd
69PBGW3S,529053225,SCI ERBEL,69384000AD0161_aec1ee85fab4b80
69PBGW5F,528072275,PODO-HARMONY,69204000CB0019_78878591cdc50f5
